CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
214201,03RD,ST,,QUESADA AVE,REVERE AVE,25,,,,,,,,"LINESTRING (-122.3912312868404 37.73321831917721, -122.39132980883478 37.73313944319086, -122.39152680187036 37.73257636725172, -122.39150814389038 37.73242696626269)"
203101,03RD,ST,,FAIRFAX AVE,GALVEZ AVE,25,,,,,,,,"LINESTRING (-122.3881871372945 37.7418841192399, -122.38816097931144 37.74177163524728, -122.38837351934932 37.74116883131257, -122.3884626873436 37.741102688324546)"
197201,03RD,ST,,MARIN ST,CARGO WAY,30,,,,,,,,"LINESTRING (-122.38744310358317 37.74899981459834, -122.38750276658496 37.74890714861033, -122.38726824591849 37.746326408806276, -122.38716101095463 37.746152183812804)"
226201,03RD,ST,,EGBERT AVE,FITZGERALD AVE,25,,,,,,,,"LINESTRING (-122.39491294635783 37.72396762220917, -122.39505052234912 37.72386511922765, -122.39528331837312 37.723355557286716, -122.39525144139378 37.72321739229579)"
195201,03RD,ST,,26TH ST,CESAR CHAVEZ ST,30,,,,,,,,"LINESTRING (-122.38762076726115 37.751554658400416, -122.38768297126333 37.75145507841318, -122.38763920339609 37.75036366350004, -122.38757206241833 37.750258433503845)"
168000,03RD,ST,,HOWARD ST,CLEMENTINA ST,25,,,,,,,,"LINESTRING (-122.40045527046479 37.78502533757755, -122.39944661071036 37.78420869357113)"
216201,03RD,ST,,SHAFTER AVE,THOMAS AVE,25,,,,,,,,"LINESTRING (-122.39178394994018 37.731638602347864, -122.39188597493519 37.731549703362646, -122.39209745197337 37.73094520142798, -122.39205974798999 37.73085023943307)"
195101,03RD,ST,,26TH ST,CESAR CHAVEZ ST,30,,,,,,,,"LINESTRING (-122.38762076726115 37.751554658400416, -122.38754837128296 37.751459780403, -122.3875015274156 37.75037350648924, -122.38757206241833 37.750258433503845)"
234000,03RD,ST,,START: 6675-6699 BLOCK,BAY SHORE BLVD,0,,,,,,,,"LINESTRING (-122.39801586355945 37.718199215911426, -122.39842111055243 37.71773514897925)"
215101,03RD,ST,,REVERE AVE,SHAFTER AVE,25,,,,,,,,"LINESTRING (-122.39150814389038 37.73242696626269, -122.39150068891104 37.732257650276104, -122.39167909994325 37.73174768133125, -122.39178394994018 37.731638602347864)"
196000,03RD,ST,,CESAR CHAVEZ ST,MARIN ST,30,,,,,,,,"LINESTRING (-122.38757206241833 37.750258433503845, -122.38744310358317 37.74899981459834)"
218101,03RD,ST,,THORNTON AVE,UNDERWOOD AVE,25,,,,,,,,"LINESTRING (-122.39213341300358 37.730637197456005, -122.39210037301932 37.730543484461315, -122.39223100704294 37.730170068501664, -122.39233554203979 37.73006187551826)"
219201,03RD,ST,,UNDERWOOD AVE,WILLIAMS AVE,25,,,,,,,,"LINESTRING (-122.39233554203979 37.73006187551826, -122.39243977003518 37.72996667253371, -122.39264803607271 37.72937132059802, -122.39261133008958 37.72927351160342)"
199101,03RD,ST,,BURKE AVE,CUSTER AVE,30,,,,,,,,"LINESTRING (-122.38711531508713 37.745065496899166, -122.38708444711173 37.744892367911206, -122.38710466012027 37.74479200392096, -122.3872532101473 37.74436588096697, -122.38735940114437 37.74425446298394)"
199201,03RD,ST,,BURKE AVE,CUSTER AVE,30,,,,,,,,"LINESTRING (-122.38711531508713 37.745065496899166, -122.38721263909065 37.74490864791921, -122.38723170909876 37.744813962928454, -122.38737832312546 37.74439338397382, -122.38735940114437 37.74425446298394)"
173000,03RD,ST,,PERRY ST,STILLMAN ST,25,,,,,,,,"LINESTRING (-122.39682821434485 37.78211417555238, -122.39636630645667 37.78174533754905)"
217201,03RD,ST,,THOMAS AVE,THORNTON AVE,25,,,,,,,,"LINESTRING (-122.39205974798999 37.73085023943307, -122.39213574198246 37.730817134441345, -122.39217899999042 37.730692026454804, -122.39213341300358 37.730637197456005)"
150000,03RD,AVE,,START: 1-99 BLOCK,LAKE ST,0,,,,,,,,"LINESTRING (-122.4614882550912 37.78723485485579, -122.46145761314494 37.786811122888324)"
225101,03RD,ST,,CARROLL AVE,DONNER AVE,25,,,,,,,,"LINESTRING (-122.3942302872864 37.72547070803537, -122.39422494430315 37.72533266404633, -122.3945189153336 37.72468819512096)"
204201,03RD,ST,,GALVEZ AVE,HUDSON AVE,25,,,,,,,,"LINESTRING (-122.3884626873436 37.741102688324546, -122.38856330533716 37.741028053338, -122.38877090937419 37.740439294401774, -122.38874138239323 37.74031231941008)"
205201,03RD,ST,,HUDSON AVE,INNES AVE,25,,,,,,,,"LINESTRING (-122.38874138239323 37.74031231941008, -122.38884199938686 37.74023768442355, -122.38904728842343 37.73965547948658, -122.38901776044248 37.7395285044949)"
186101,03RD,ST,,16TH ST,MARIPOSA ST,30,,,,,,,,"LINESTRING (-122.38909646826457 37.76689836424218, -122.38903402228716 37.7667838562471, -122.38879697459787 37.76440693442587, -122.38884864760057 37.76431672043706)"
222201,03RD,ST,,YOSEMITE AVE,ARMSTRONG AVE,25,,,,,,,,"LINESTRING (-122.39321958117694 37.72772852577528, -122.39332728816935 37.72765464078923, -122.39356797519547 37.72711698385117, -122.39355695021352 37.72697489186212)"
205101,03RD,ST,,HUDSON AVE,INNES AVE,25,,,,,,,,"LINESTRING (-122.38874138239323 37.74031231941008, -122.38871519941017 37.74019972841747, -122.3889285074482 37.73959471248294, -122.38901776044248 37.7395285044949)"
209201,03RD,ST,,LA SALLE AVE,MCKINNON AVE,25,,,,,,,,"LINESTRING (-122.38985125559094 37.73716458875081, -122.38995186658452 37.737089952764286, -122.39015120662205 37.73650703382699, -122.39013184463904 37.736385251835635)"
232201,03RD,ST,,KEY AVE,LE CONTE AVE,25,,,,,,,,"LINESTRING (-122.39694114657335 37.71947163772811, -122.39705938556665 37.719376182744604, -122.39745731955796 37.71893632980989, -122.39746552956905 37.718829416819304)"
227201,03RD,ST,,FITZGERALD AVE,GILMAN AVE,25,,,,,,,,"LINESTRING (-122.39525144139378 37.72321739229579, -122.3953924063843 37.723116777314345, -122.39564073040988 37.72257321237733, -122.39560955543155 37.72242666238714)"
187101,03RD,ST,,MARIPOSA ST,18TH ST,30,,,,,,,,"LINESTRING (-122.38884864760057 37.76431672043706, -122.38878443961995 37.76423226743935, -122.3886748597636 37.763133436522004, -122.38873536276496 37.76304316353385)"
190201,03RD,ST,,20TH ST,22ND ST,30,,,,,,,,"LINESTRING (-122.38855376408819 37.76048589373155, -122.38861754408934 37.760393073743835, -122.38839335039772 37.75801841092346, -122.38831289541946 37.757934591924496)"
190101,03RD,ST,,20TH ST,22ND ST,30,,,,,,,,"LINESTRING (-122.38855376408819 37.76048589373155, -122.38848514210828 37.760400920733545, -122.38825550141846 37.758017242913446, -122.38831289541946 37.757934591924496)"
192101,03RD,ST,,23RD ST,24TH ST,30,,,,,,,,"LINESTRING (-122.38798791276311 37.75538494011113, -122.38791040778455 37.755300190112486, -122.3878051649273 37.75420226019539, -122.38786543192926 37.75410720120765)"
221101,03RD,ST,,LANE ST,YOSEMITE AVE,25,,,,,,,,"LINESTRING (-122.39288621413951 37.728484638688606, -122.39285250315642 37.72838179169465, -122.39311187218456 37.72780241176133, -122.39321958117694 37.72772852577528)"
160000,03RD,AVE,,LINCOLN WAY,HUGO ST,0,,,,,,,,"LINESTRING (-122.46000319975627 37.766160847478716, -122.4599397758711 37.76525184054879)"
192201,03RD,ST,,23RD ST,24TH ST,30,,,,,,,,"LINESTRING (-122.38798791276311 37.75538494011113, -122.38804852876463 37.755293501123084, -122.38794285490796 37.75419110520637, -122.38786543192926 37.75410720120765)"
193201,03RD,ST,,24TH ST,25TH ST,30,,,,,,,,"LINESTRING (-122.38786543192926 37.75410720120765, -122.3879261089307 37.75401639921958, -122.38782116507303 37.75292158030228, -122.38774307209526 37.752830667304046)"
193101,03RD,ST,,24TH ST,25TH ST,30,,,,,,,,"LINESTRING (-122.38787600592768 37.7541070322084, -122.38779885594863 37.75402597120947, -122.38769391509094 37.75293115229214, -122.3877536460937 37.75283049830481)"
224201,03RD,ST,,BANCROFT AVE,CARROLL AVE,25,,,,,,,,"LINESTRING (-122.39388930224949 37.726232452947606, -122.39399981824222 37.72615228696229, -122.39424004726826 37.7256156270241, -122.3942302872864 37.72547070803537)"
194101,03RD,ST,,25TH ST,26TH ST,30,,,,,,,,"LINESTRING (-122.38774307209526 37.752830667304046, -122.3876657481164 37.75274777430524, -122.38755901826113 37.751634248389365, -122.38762076726115 37.751554658400416)"
180000,03RD,ST,,TOWNSEND ST,KING ST,25,,,,,,,,"LINESTRING (-122.39273657533562 37.77884677052284, -122.3918273135558 37.77812075151626)"
194201,03RD,ST,,25TH ST,26TH ST,30,,,,,,,,"LINESTRING (-122.38774307209526 37.752830667304046, -122.38780357209689 37.7527380303161, -122.38769792224022 37.75163581339937, -122.38762076726115 37.751554658400416)"
152000,03RD,AVE,,CALIFORNIA ST,CORNWALL ST,0,,,,,,,,"LINESTRING (-122.46135544132416 37.78539819299696, -122.46132317338072 37.784951939031245)"
