CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
7846000,KIRKHAM,ST,,08TH AVE,09TH AVE,25,,,,,,,,"LINESTRING (-122.46496783468811 37.7603535213184, -122.466037168534 37.760306618400314)"
7882000,KIRKHAM,ST,,42ND AVE,43RD AVE,15,true,,,,,,,"LINESTRING (-122.5014921744287 37.758742284116565, -122.50256847627378 37.758695224198945)"
7858000,KIRKHAM,ST,,20TH AVE,21ST AVE,0,,,,,,,,"LINESTRING (-122.47792345782209 37.7597795543111, -122.47899214766811 37.759732484392984)"
7849000,KIRKHAM,ST,,11TH AVE,12TH AVE,25,,,,,,,,"LINESTRING (-122.46817756422554 37.760212710564254, -122.46924993607104 37.76016564664637)"
7883000,KIRKHAM,ST,KIRKHAM,,,15,true,,,,,,,"LINESTRING (-122.50256847627378 37.758695224198945, -122.5036392551197 37.75864839628093)"
7857000,KIRKHAM,ST,,19TH AVE,20TH AVE,0,,,,,,,,"LINESTRING (-122.47680066898381 37.75982899722512, -122.47792345782209 37.7597795543111)"
7888000,KIRKHAM,ST,,48TH AVE,LOWER GREAT HWY,0,,,,,,,,"LINESTRING (-122.50792308650314 37.758460955609024, -122.50909806433405 37.75840951669901)"
7875000,KIRKHAM,ST,,36TH AVE,SUNSET BLVD,0,,,,,,,,"LINESTRING (-122.49506916135341 37.759023194624696, -122.49560399827645 37.75899955966562)"
7853000,KIRKHAM,ST,,15TH AVE,16TH AVE,25,,,,,,,,"LINESTRING (-122.47243295261262 37.76002426789031, -122.47363910543898 37.75997035998279)"
7882000,KIRKHAM,ST,KIRKHAM,,,15,true,,,,,,,"LINESTRING (-122.5014921744287 37.758742284116565, -122.50256847627378 37.758695224198945)"
7850000,KIRKHAM,ST,,12TH AVE,FUNSTON AVE,25,,,,,,,,"LINESTRING (-122.46924993607104 37.76016564664637, -122.47032143191664 37.76011861172843)"
7844000,KIRKHAM,ST,,06TH AVE,07TH AVE,0,,,,,,,,"LINESTRING (-122.46282869299638 37.76044731515459, -122.46389867184222 37.7604004042365)"
7847000,KIRKHAM,ST,,09TH AVE,10TH AVE,25,,,,,,,,"LINESTRING (-122.466037168534 37.760306618400314, -122.46710846937962 37.76025962148235)"
7843000,KIRKHAM,ST,,05TH AVE,06TH AVE,0,,,,,,,,"LINESTRING (-122.46175698115088 37.76049429107248, -122.46282869299638 37.76044731515459)"
7842000,KIRKHAM,ST,,START: 5-99 BLOCK,05TH AVE,0,,,,,,,,"LINESTRING (-122.46056074732333 37.76054671398085, -122.46175698115088 37.76049429107248)"
7883000,KIRKHAM,ST,,43RD AVE,44TH AVE,15,true,,,,,,,"LINESTRING (-122.50256847627378 37.758695224198945, -122.5036392551197 37.75864839628093)"
7861000,KIRKHAM,ST,,23RD AVE,24TH AVE,0,,,,,,,,"LINESTRING (-122.48113430135962 37.7596381035571, -122.48220794020503 37.759590784639364)"
7856000,KIRKHAM,ST,,18TH AVE,19TH AVE,25,,,,,,,,"LINESTRING (-122.47578334113025 37.75987449514715, -122.47680066898381 37.75982899722512)"
7866000,KIRKHAM,ST,,28TH AVE,29TH AVE,0,,,,,,,,"LINESTRING (-122.48649841658722 37.75940159496803, -122.4875662774335 37.75935448204985)"
7871000,KIRKHAM,ST,,33RD AVE,34TH AVE,0,,,,,,,,"LINESTRING (-122.49185373081622 37.75916522937831, -122.4929236466622 37.75911797746027)"
