OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
10588,Geary Blvd&3RD Ave NE-NS/BZ,GEAR 3A0,GEAR 3AV,4255,37.781277,-122.460938,0,3RD AVE,GEARY BLVD,NS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2204005,121,,"(37.78127205830435, -122.46092477786709)",5,8,4,11
9509,Divisadero St&Eddy St SW-FS/BZ,DIVIEDD0,DIVIEDDY,4415,37.780591,-122.438942,0,TURK ST,DIVISADERO ST,FS,SW,BZ,0,04/20/2020 11:54:43 AM +0000,2209066,121,,"(37.780586056753705, -122.43892878123032)",13,4,11,39
11246,Silver Ave&Lisbon St SW-NS/SB,SILVLIS0,SILVLISB,6410,37.728473,-122.428789,0,LISBON ST,SILVER AVE,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2206924,121,,"(37.72846806030398, -122.42877578877774)",90,9,1,7
9253,Mission St&Power St NE-FS/BZ,MISSPOWR,,7841,37.746245,-122.419401,,PRECITA AVE,MISSION ST,,,,,04/20/2020 11:54:43 AM +0000,2210690,121,,"(37.746240058155, -122.41938778812666)",83,9,2,2
7779,Divisadero St&Hayes St NE-FS/BZ,DIVIHAY1,DIVIHAYS,4425,37.775059,-122.437739,0,HAYES ST,DIVISADERO ST,FS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2204051,121,,"(37.7750540571208, -122.4377257820514)",23,4,11,9
7932,The Embarcadero&Ferry Building W-MB,EMBRFRR0,,7283,37.794828,-122.39377,0,THE EMBARCADERO,MUNI RAIL  -F RROW,,,,0,04/20/2020 11:54:43 AM +0000,2208820,121,,"(37.79482305228091, -122.39375678632972)",108,6,3,8
8113,4080 Mission St NW-MB/BZ,MISS4080,MISS4080,5573,37.73217,-122.428,0,,MISSION ST,MB,NW,BZ,0,04/20/2020 11:54:43 AM +0000,2206965,121,,"(37.73216505994178, -122.42798678846866)",93,9,5,28
7714,Mission St&26th St SW-FS/BZ,MISS26S0,MISS26ST,5568,37.74857,-122.41818,0,26TH ST,MISSION ST,FS,SW,BZ,0,04/20/2020 11:54:43 AM +0000,2205615,121,,"(37.74856505787435, -122.41816678804022)",53,3,2,20
10208,Bosworth St&Diamond St SE-FS/BZ,BOSWDIA0,BOSWDIAM,3696,37.733488,-122.43408,0,DIAMOND ST,BOSWORTH ST,FS,SE,BZ,1,04/20/2020 11:54:43 AM +0000,2203311,121,,"(37.733483060276185, -122.43406678740836)",96,9,5,41
8629,Castro St&14TH St NE-FS/BZ,CTRO14S1,CTRO14ST,4307,37.76761,-122.43558,0,14TH ST,CASTRO ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2209575,121,,"(37.767605057575956, -122.43556678323705)",28,7,5,5
10417,Fillmore St&Geary Blvd NE-FS/BZ,FILLGEA1,FILLGEAR,4614,37.784733,-122.432921,0,GEARY BLVD,FILLMORE ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2206489,121,,"(37.784728055973154, -122.43290778164916)",101,4,11,15
10906,Silver Ave&Dartmouth St W-FS/PS,SILVDAR1,SILVDART,6405,37.729843,-122.413611,0,DARTMOUTH ST,SILVER AVE,FS,W,,0,04/20/2020 11:54:43 AM +0000,2206524,121,,"(37.72983805908543, -122.41359779088712)",91,2,2,25
