OBJECTID,CNN,CNNTEXT,ST_NAME1,ST_TYPE1,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,point
4507,32977000,32977000,MARKET,ST,PORTOLA,DR, , , , ,1223,0,0,0,2,243141,2184,0,0,POINT (-122.4433472633844 37.75008260921654)
5870,28033000,28033000,27TH,AVE,SEACLIFF,AVE, , , , ,8651,0,0,0,5,219953,812,0,0,POINT (-122.4880591865937 37.78868241790385)
6592,23860000,23860000,DE HARO,ST,BERRY,ST, , , , ,1840,0,0,0,7,432499,343,0,0,POINT (-122.40199272683522 37.76902947087145)
8110,26253000,26253000,CLARENDON,AVE,OAK PARK,DR, , , , ,2635,0,0,0,7,178338,693,0,0,POINT (-122.45505238872983 37.75511628924695)
2615,22427000,22427000,AGUA,WAY,LA BICA,WAY, , , , ,700,0,0,0,2,137004,756,0,0,POINT (-122.4530821244644 37.742081725373076)
4258,21669000,21669000,TRUMBULL,ST,CONGDON,ST, , , , ,693,0,0,0,21,201536,1325,0,0,POINT (-122.42614365562248 37.73088141369028)
4811,23754000,23754000,DE HARO,ST,16TH,ST, , , , ,5663,0,1,0,2,1206963,168,3,4.96999979,POINT (-122.40172051544751 37.76613252043636)
1027,22586000,22586000,GRANADA,AVE,OCEAN,AVE, , , , ,316,1,0,0,17,2298906,1117,0,0,POINT (-122.45716900101515 37.724101683892044)
7842,26547000,26547000,BROADWAY,0,VAN NESS,AVE, , , , ,3351,0,1,0,20,6049887,4807,1,0.33000001,POINT (-122.42341305550559 37.79573710966956)
1472,52273000,52273000,I-280 N ON,RAMP,ALEMANY,BLVD,I-280 N OFF,RAMP, , ,2737,0,0,0,6,922640,1280,0,0,POINT (-122.41980750072649 37.73168573325874)
5055,25567000,25567000,CHESTNUT,ST,LARKIN,ST, , , , ,3101,0,0,0,6,195859,3960,0,0,POINT (-122.42148036525428 37.80269492434821)
366,22169000,22169000,OTTAWA,AVE,OTEGA,AVE, , , , ,270,0,0,0,5,92423,1186,0,0,POINT (-122.44795968226944 37.717000408452606)
4479,54011000,54011000,QUICKSTEP,LN,ELLIS,ST, , , , ,886,0,0,0,0,339399,3317,0,0,POINT (-122.4279427846091 37.78294001693296)
2747,21900000,21900000,27TH,ST,DOLORES,ST, , , , ,305,0,0,1,11,260193,2655,0,0,POINT (-122.42468979474053 37.747033403397545)
1372,22253000,22253000,HAZELWOOD,AVE,MONTECITO,AVE, , , , ,257,1,0,0,20,359027,1028,0,0,POINT (-122.45428542126209 37.730477459749196)
7487,26063000,26063000,MCALLISTER,ST,PIERCE,ST, , , , ,556,0,1,0,14,371995,4108,0,0,POINT (-122.43505239061666 37.778212772106386)
139,54121000,54121000,SCHWERIN,ST,HERITAGE,LN, , , , ,425,0,0,0,0,298272,914,0,0,POINT (-122.41176739715046 37.709662478314435)
6952,33484000,33484000,TAPIA,DR,HOLLOWAY,AVE,FONT,BLVD, , ,1673,1,0,0,10,2317011,1688,0,0,POINT (-122.48105803189888 37.72070272775181)
5820,27575000,27575000,PRESIDIO,TER,WASHINGTON,ST,ARGUELLO,BLVD, , ,644,0,0,0,6,159364,1495,0,0,POINT (-122.45938761542912 37.7884052177404)
4507,32977000,32977000,MARKET,ST,PORTOLA,DR, , , , ,1223,0,0,0,2,243141,2184,0,0,POINT (-122.4433472633844 37.75008260921654)
7802,24922000,24922000,MARKET,ST,06TH,ST,TAYLOR,ST,GOLDEN GATE,AVE,8605,0,0,1,14,11748655,5245,18,3.05999994,POINT (-122.41029202716192 37.782230574318866)
5124,30726000,30726000,MARKET,ST,SPEAR,ST, , , , ,572,0,0,1,5,21795771,699,0,0,POINT (-122.39558355404034 37.79375455855829)
5743,32940000,32940000,MARKET,ST,COPPER,ALY, , , , ,2112,0,0,1,1,12433,2566,0,0,POINT (-122.44291485530346 37.75736046028992)
4385,30729000,30729000,MARKET,ST,BEALE,ST,PINE,ST,DAVIS,ST,441,0,0,0,22,31448618,453,3,0.19,POINT (-122.39738344572146 37.79240552141362)
5024,30734000,30734000,MARKET,ST,02ND,ST, , , , ,290,0,1,0,38,19545140,278,3,0.31,POINT (-122.4013754915856 37.78926432279167)
3625,26187000,26187000,MARKET,ST,19TH,ST, , , , ,1687,0,0,0,12,100267,2152,0,0,POINT (-122.44494765166259 37.75940733585492)
